city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,palazzolo acreide,37.06,14.9,84.99,42,1,3.36,IT,1593452793
88,iracoubo,5.48,-53.2,81.61,83,65,9.33,GF,1593452793
89,vaini,-21.2,-175.2,75.2,100,90,5.82,TO,1593452794
90,kapaa,22.08,-159.32,78.01,88,75,7.63,US,1593452779
91,tabou,4.42,-7.35,77.07,81,68,11.79,CI,1593452794
92,nanortalik,60.14,-45.24,42.67,83,21,7.05,GL,1593452794
93,chuy,-33.7,-53.46,55.26,71,100,14.05,UY,1593452582
94,rockport,28.02,-97.05,88.0,66,75,18.34,US,1593452794
95,kudahuvadhoo,2.67,72.89,83.66,76,24,9.84,MV,1593452795
96,ust-kuyga,70.02,135.6,49.6,56,55,3.09,RU,1593452795
97,lebu,-37.62,-73.65,50.58,92,100,7.96,CL,1593452594
98,jamestown,42.1,-79.24,80.01,50,20,6.93,US,1593452571
99,taltal,-25.4,-70.48,62.2,62,47,1.92,CL,1593452795
100,port elizabeth,-33.92,25.57,60.8,82,61,19.46,ZA,1593452795
101,cortez,37.35,-108.59,75.2,27,1,19.46,US,1593452795
102,husavik,66.04,-17.34,50.0,76,75,14.99,IS,1593452796
103,port hardy,50.7,-127.42,59.0,72,75,6.93,CA,1593452796
104,oistins,13.07,-59.53,87.8,66,40,16.11,BB,1593452706
105,hasaki,35.73,140.83,70.0,100,75,4.7,JP,1593452584
106,samarai,-10.62,150.67,78.13,85,72,15.82,PG,1593452796
107,feijo,-8.16,-70.35,92.66,45,34,1.81,BR,1593452796
108,kuchinarai,16.54,104.05,79.14,81,87,8.59,TH,1593452797
109,moyale,3.52,39.06,70.12,55,2,5.64,KE,1593452797
110,nome,64.5,-165.41,45.0,75,1,5.82,US,1593452797
111,busselton,-33.65,115.33,57.0,66,74,18.05,AU,1593452566
112,cape town,-33.93,18.42,57.99,93,75,6.93,ZA,1593452635
113,berlevag,70.86,29.09,42.8,75,40,12.75,NO,1593452798
114,gravdal,68.12,13.5,51.8,66,20,27.51,NO,1593452798
115,qena,26.16,32.72,95.0,17,0,5.82,EG,1593452798
116,sabang,5.89,95.32,83.1,76,100,7.63,ID,1593452798
117,new norfolk,-42.78,147.06,43.0,92,0,1.79,AU,1593452579
118,nago,26.59,127.98,82.4,88,75,12.75,JP,1593452798
119,sungairaya,0.7,108.9,79.5,82,78,1.92,ID,1593452798
120,salamiyah,35.01,37.05,73.26,66,0,16.28,SY,1593452798
121,yukhnov,54.74,35.23,60.91,76,29,3.98,RU,1593452799
122,coihaique,-45.58,-72.07,33.8,84,90,3.36,CL,1593452799
123,kavaratti,10.57,72.64,83.62,80,100,19.42,IN,1593452799
124,banjarmasin,-3.32,114.59,73.22,95,31,1.86,ID,1593452799
125,loei,17.42,101.5,67.08,100,65,4.61,TH,1593452799
126,mackay,-21.15,149.2,62.6,93,90,11.41,AU,1593452799
127,le port,-20.94,55.29,69.8,73,32,10.29,RE,1593452800
128,bethel,41.37,-73.41,82.99,61,40,9.17,US,1593452800
129,ust-nera,64.57,143.2,55.18,70,100,8.28,RU,1593452800
130,yamada,39.47,141.95,62.58,88,100,3.53,JP,1593452800
131,tezu,27.92,96.17,75.96,86,12,3.76,IN,1593452800
132,bredasdorp,-34.53,20.04,55.4,93,84,4.7,ZA,1593452800
133,egvekinot,66.32,-179.17,34.05,87,30,4.56,RU,1593452800
134,iqaluit,63.75,-68.51,39.2,80,75,12.75,CA,1593452578
135,trinidad,-14.83,-64.9,78.8,61,85,4.7,BO,1593452801
136,east london,-33.02,27.91,66.61,55,42,20.04,ZA,1593452801
137,ahuimanu,21.44,-157.84,78.8,74,90,9.17,US,1593452801
138,ghanzi,-21.57,21.78,54.64,36,0,6.4,BW,1593452801
139,gat,31.61,34.76,80.01,84,0,3.71,IL,1593452801
140,karuri,-0.7,37.18,57.99,75,80,7.0,KE,1593452801
141,katsuura,35.13,140.3,73.0,88,100,9.22,JP,1593452802
142,constitucion,-35.33,-72.42,55.44,81,98,9.1,CL,1593452802
143,barinas,8.62,-70.21,83.89,69,63,5.7,VE,1593452802
144,belyy yar,53.6,91.39,55.4,93,100,4.47,RU,1593452802
145,matara,5.95,80.54,80.55,86,99,13.38,LK,1593452802
